name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Cheri Cheri Lady,Let's Talk About Love,Modern Talking,1985,226333,78,0.458,0.677,0.616,0.0132,0.349,-13.826,0.032,114.223,4
Cherry,Fine Line,Harry Styles,2019-12-13,259186,77,0.615,0.53,0.512,0.00453,0.129,-9.261,0.0259,95.946,4
Cherry,Lust For Life,Lana Del Rey,2017-07-21,180902,79,0.048,0.449,0.534,0.0011,0.384,-9.493,0.0494,94.261,3
Believe,Believe,Cher,1998,239026,82,0.0082,0.652,0.917,0.0,0.0509,-6.72,0.0548,132.975,4
Cherry Hill,There's Really A Wolf,Russ,2017-05-05,222453,71,0.161,0.681,0.469,0.403,0.108,-10.803,0.0366,130.022,4
Cherry Pie,Cherry Pie,Warrant,1990-10-14,201026,67,0.0372,0.472,0.946,0.0,0.352,-4.591,0.145,177.489,4
Cherub Rock - 2011 Remaster,Siamese Dream (Deluxe Edition),The Smashing Pumpkins,1993,298253,68,5.91e-06,0.382,0.867,0.581,0.196,-7.426,0.0399,87.309,4
If I Could Turn Back Time,Heart Of Stone,Cher,1989-01-01,239826,75,0.243,0.658,0.575,0.0,0.122,-10.365,0.0267,108.329,4
Cherry-coloured Funk,Heaven or Las Vegas,Cocteau Twins,1990-09-17,192466,70,0.00196,0.49,0.652,6.24e-05,0.0991,-5.813,0.0274,90.085,4
Cherry Waves,Saturday Night Wrist,Deftones,2006-10-30,317706,63,0.000362,0.47,0.859,0.00691,0.142,-3.663,0.0537,124.01,4
Cherry Pie,Cherry Pie (Expanded Edition),Warrant,1990-05-01,201106,67,0.0251,0.407,0.955,0.0,0.347,-4.164,0.164,177.48,4
Cherry Bomb,The Lonesome Jubilee,John Mellencamp,1987,287106,66,0.0509,0.744,0.945,1.41e-06,0.0435,-3.266,0.0286,113.882,4
"Gypsys, Tramps & Thieves","Gypsys, Tramps & Thieves",Cher,1971-01-01,158000,60,0.211,0.476,0.677,0.0,0.0601,-11.175,0.0365,170.879,4
Cherry Flavoured,Chip Chrome & The Mono-Tones,The Neighbourhood,2020-09-25,208453,69,0.23,0.617,0.574,0.0105,0.0983,-9.768,0.0276,91.769,4
Cherry Blossoms,Cherry Blossoms,Shady Moon,2021-08-26,138311,68,0.732,0.79,0.343,0.000274,0.201,-11.329,0.235,117.952,4
CHERRY BOMB,Cherry Bomb + Instrumentals,"Tyler, The Creator",2015-04-13,269352,45,0.001,0.594,0.817,0.8,0.155,-3.389,0.0521,133.868,4
Doses & Mimosas,Year of the Caprese,Cherub,2014,323253,76,0.114,0.775,0.655,0.00016,0.035,-7.333,0.102,114.503,4
Cherry Cola,Cherry Cola,Kuwada,2018-02-09,184360,61,0.764,0.777,0.635,2.25e-06,0.155,-6.323,0.0392,138.04,4
Cheri Cheri Lady,The First & Second Album (30th Anniversary Edition),Modern Talking,1985,227653,53,0.494,0.678,0.778,0.00228,0.322,-8.601,0.0312,114.265,4
CHERIMOYA - BONUS,FORWARD,Jordan Ward,2023-03-03,129080,61,0.875,0.487,0.337,0.0103,0.157,-13.561,0.0731,84.394,4
チェリーボンボン,KPP BEST,Kyary Pamyu Pamyu,2016-05-25,218466,52,0.223,0.691,0.954,0.004,0.138,-1.755,0.0341,130.037,4
Cherish the Day,Love Deluxe,Sade,1992-10-26,332133,63,0.0121,0.68,0.389,0.0834,0.105,-13.239,0.0545,80.145,4
Cherry Waves,The Studio Album Collection,Deftones,2016-04-07,317706,34,0.000334,0.464,0.877,0.00405,0.149,-3.616,0.0569,124.028,4
Cherry Cherry,The Bang Years 1966-1968 (The 23 Original Mono Recordings),Neil Diamond,1968,163906,61,0.0271,0.56,0.827,0.00285,0.0551,-4.157,0.0306,84.383,4
Cherry Bomb,Glorious Results of a Misspent Youth (Expanded Edition),Joan Jett & the Blackhearts,1984-10-01,155746,51,0.225,0.533,0.926,4.8e-05,0.0572,-6.139,0.0525,128.51,4
Cherish,The Very Best Of Kool & The Gang (Reissue),Kool & The Gang,1999-03-01,238933,57,0.331,0.639,0.596,0.0,0.296,-8.145,0.0225,95.186,4
Cherished Dreams,Cherished Dreams,Sky Holland,2023-03-10,127210,62,0.994,0.553,0.0327,0.957,0.111,-24.449,0.0538,63.93,4
Cherry Bomb,NCT #127 CHERRY BOMB– The 3rd Mini Album,NCT 127,2017-06-14,236667,66,0.000759,0.713,0.603,5.51e-06,0.0453,-4.896,0.287,78.027,4
Cherry Thrill,Cherry Thrill,Movements,2022-08-19,199521,58,0.0175,0.729,0.731,9.7e-06,0.108,-5.179,0.0329,104.011,4
Indian Reservation (The Lament of the Cherokee Reservation Indian),Indian Reservation,Paul Revere & The Raiders,1971,171933,49,0.284,0.639,0.385,0.00193,0.0873,-13.253,0.0759,131.714,4
Cherry,Cherry (Deluxe),Chromatics,2017-12-09,271952,61,0.0336,0.655,0.782,0.228,0.175,-6.388,0.0355,108.245,4
Cherish,And Then...Along Comes,The Association,1966,207133,53,0.776,0.51,0.544,0.0,0.144,-8.308,0.0282,110.197,4
Cheryl,Cheryl,Yung Gravy,2017-06-21,169019,58,0.0477,0.801,0.698,1.46e-06,0.184,-8.998,0.33,76.5,4
